,keywords,number_of_times_word_appeared,tf,idf,tf_idf
1169,in,505,0.01654273266288859,-6.22455842927536,-0.10297120604003199
719,an,497,0.016280669571199266,-6.208590026096629,-0.10108000271792264
595,th,475,0.015559996069053625,-6.163314804034641,-0.09590115412311903
932,es,441,0.014446227929373997,-6.089044875446846,-0.08796373014289184
36,al,399,0.013070396698005044,-5.988961416889864,-0.07827810152779689
154,the,303,0.009925639597733155,-5.713732805509369,-0.05671245258523074
123,at,272,0.008910145117437023,-5.605802066295998,-0.04994850991032566
553,st,272,0.008910145117437023,-5.605802066295998,-0.04994850991032566
163,ed,256,0.008386018934058374,-5.545177444479562,-0.04650196304211904
391,on,242,0.007927408523602058,-5.488937726156687,-0.043513051715855414
11,ing,194,0.006355029973466112,-5.267858159063328,-0.03347739649681546
32,ani,188,0.0061584826546991185,-5.236441962829949,-0.03224853700042685
934,of,181,0.00592917744947096,-5.198497031265826,-0.03082281136892307
785,or,175,0.005732630130703967,-5.1647859739235145,-0.02960780769275117
456,mal,174,0.005699872244242801,-5.159055299214529,-0.029405956106506634
42,to,174,0.005699872244242801,-5.159055299214529,-0.029405956106506634
1092,anim,172,0.005634356471320471,-5.147494476813453,-0.029002818816520257
1079,animal,170,0.005568840698398139,-5.135798437050262,-0.028600443355015052
563,et,169,0.005536082811936974,-5.1298987149230735,-0.028399544102663196
354,and,150,0.004913682969174829,-5.0106352940962555,-0.024620673309347082
764,is,141,0.004618861991024339,-4.948759890378168,-0.022857638960373496
722,tes,129,0.0042257673534903525,-4.859812404361672,-0.02053643660243901
852,ts,122,0.003996462148262194,-4.804021044733257,-0.019199088264731462
122,it,119,0.0038981884888786974,-4.77912349311153,-0.018629924187777116
515,test,115,0.0037671569430340356,-4.74493212836325,-0.017874904011588883
411,be,108,0.0035378517378058766,-4.68213122712422,-0.016564686098516582
1096,ting,106,0.003472335964883546,-4.663439094112067,-0.016193027286529275
100,res,104,0.003406820191961215,-4.6443908991413725,-0.01582260469455573
145,as,98,0.0032102728731942215,-4.584967478670572,-0.014718996721253843
1095,med,98,0.0032102728731942215,-4.584967478670572,-0.014718996721253843
445,ci,97,0.003177514986733056,-4.574710978503383,-0.014536212694166743
980,ec,95,0.003111999213810725,-4.553876891600541,-0.014171661306451712
